Title,Description,Keywords,refSku,Collection,Provider,Readiness Level,Containment level,Taxon,Pathogen name,ICTV nomenclature,Viral strain,Model type,Category,Research Model Category,Animal infection route,Host species,Experimental model name,Virus isolation,Typing,Virus titration,Neutralisation assay,Antiviral assay,Cytotoxicity,Cell Viability,PRNT / microneutralisation,CPE (TCID50),Focus Forming Assay,RT-qPCR,Serology,Immuno-fluorescence,Confocal microscopy,Electron microscopy,Histo-chemistry,Histo-pathology,ELISA,Bead-based ELISA,ELISPOT / FLUOSPOT,Sequencing,Flow cytometry,Proteomics,Transcriptomics,Availability,Unit cost note,accessPointURL,Other
Title,Descriptions,Key words,refSKU,Collection,Provider,Readiness Level,Containment level,Taxon,Pathogen Name,ICTV nomenclature,Strain,Model type,Inquiry type,Research Model Category,Animal infection route,Species,Experimental model name,Virus isolation,Typing,Virus titration,Neutralisation assay,Antiviral assay,Cytotoxicity,Cell Viability,PRNT / microneutralisation,CPE (TCID50),Focus Forming Assay,RT-qPCR,Serology,Immuno-fluorescence,Confocal microscopy,Electron microscopy,Histo-chemistry,Histo-pathology,ELISA,Bead-based ELISA,ELISPOT / FLUOSPOT,Sequencing,Flow cytometry,Proteomics,Transcriptomics,Availability,Unit cost note,Apply,Other
"A Pathophysiology of infection study of SARS-CoV-2, strain Wuhan-Hu-1, in Immortalised cells","A Pathophysiology of infection study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro African Green Monkey Immortalised cells, provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Pathophysiology of infection, Immortalised cells, African Green Monkey",1-1-1-1-1-1-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,cellular,Pathophysiology of infection,Immortalised cells,,African Green Monkey,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Antiviral therapy study of SARS-CoV-2, strain Wuhan-Hu-1, in Immortalised cells","A Antiviral therapy study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro African Green Monkey Immortalised cells, provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Antiviral therapy, Immortalised cells, African Green Monkey",1-1-1-2-1-1-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Antiviral therapy,Immortalised cells,,African Green Monkey,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Vaccine study of SARS-CoV-2, strain Wuhan-Hu-1, in Immortalised cells","A Vaccine study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro African Green Monkey Immortalised cells, provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Vaccine, Immortalised cells, African Green Monkey",1-1-1-3-1-1-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Vaccine,Immortalised cells,,African Green Monkey,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Diagnostics study of SARS-CoV-2, strain Wuhan-Hu-1, in Immortalised cells","A Diagnostics study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro African Green Monkey Immortalised cells, provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Diagnostics, Immortalised cells, African Green Monkey",1-1-1-4-1-1-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Diagnostics,Immortalised cells,,African Green Monkey,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Pathophysiology of infection study of SARS-CoV-2, strain Wuhan-Hu-1, in Immortalised cells","A Pathophysiology of infection study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro Human Immortalised cells, provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Pathophysiology of infection, Immortalised cells, Human",1-1-1-1-1-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,cellular,Pathophysiology of infection,Immortalised cells,,Human,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Antiviral therapy study of SARS-CoV-2, strain Wuhan-Hu-1, in Immortalised cells","A Antiviral therapy study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro Human Immortalised cells, provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Antiviral therapy, Immortalised cells, Human",1-1-1-2-1-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Antiviral therapy,Immortalised cells,,Human,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Vaccine study of SARS-CoV-2, strain Wuhan-Hu-1, in Immortalised cells","A Vaccine study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro Human Immortalised cells, provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Vaccine, Immortalised cells, Human",1-1-1-3-1-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Vaccine,Immortalised cells,,Human,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Diagnostics study of SARS-CoV-2, strain Wuhan-Hu-1, in Immortalised cells","A Diagnostics study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro Human Immortalised cells, provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Diagnostics, Immortalised cells, Human",1-1-1-4-1-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Diagnostics,Immortalised cells,,Human,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
